component_group,component_name,forecast_mean,analysis_mean,bias_mean,mae
hourly_component,temp,20.533,21.222,-0.689,5.017
hourly_component,dewpoint,13.702,13.751,-0.05,2.486
hourly_component,wind,4.069,4.376,-0.307,1.909
hourly_component,cloud,7.362,7.909,-0.547,2.039
hourly_component,precip,14.005,14.049,-0.043,0.99
hourly_component,interaction,-2.038,-1.681,-0.357,2.051
hourly_component,hazard_penalty,2.0,1.782,0.218,1.415
daily_aggregate,best_3hr,65.208,65.57,-0.362,9.343
daily_aggregate,best_6hr,60.734,61.768,-1.034,10.643
daily_aggregate,daytime_weighted_mean,55.642,55.316,0.326,11.191
daily_aggregate,reliability_score,44.782,44.682,0.1,13.803
daily_aggregate,disruption_penalty,0.706,1.128,-0.423,1.578
