component_group,component_name,forecast_mean,analysis_mean,bias_mean,mae
hourly_component,temp,10.896,10.89,0.006,2.244
hourly_component,dewpoint,17.587,17.326,0.261,0.555
hourly_component,wind,5.221,5.137,0.084,1.251
hourly_component,cloud,5.831,8.539,-2.707,2.936
hourly_component,precip,14.84,14.858,-0.018,0.176
hourly_component,interaction,-3.487,-1.677,-1.81,2.05
hourly_component,hazard_penalty,1.065,1.828,-0.763,1.062
daily_aggregate,best_3hr,60.289,60.728,-0.439,5.525
daily_aggregate,best_6hr,56.677,57.181,-0.503,5.746
daily_aggregate,daytime_weighted_mean,49.823,51.231,-1.408,5.63
daily_aggregate,reliability_score,38.393,35.479,2.914,4.196
daily_aggregate,disruption_penalty,0.242,0.422,-0.18,0.382
