component_group,component_name,forecast_mean,analysis_mean,bias_mean,mae
hourly_component,temp,0.593,0.751,-0.159,0.165
hourly_component,dewpoint,17.937,17.89,0.048,0.281
hourly_component,wind,4.93,5.048,-0.118,1.074
hourly_component,cloud,3.787,4.612,-0.825,1.513
hourly_component,precip,12.754,12.801,-0.047,1.486
hourly_component,interaction,-7.888,-6.645,-1.243,1.901
hourly_component,hazard_penalty,2.598,2.778,-0.18,0.808
daily_aggregate,best_3hr,35.337,35.615,-0.278,4.69
daily_aggregate,best_6hr,33.104,33.001,0.103,4.421
daily_aggregate,daytime_weighted_mean,29.77,29.555,0.215,3.986
daily_aggregate,reliability_score,23.388,23.339,0.049,0.67
daily_aggregate,disruption_penalty,2.824,3.034,-0.21,1.458
