request_id,workflow,label,run_slug,endpoint_name,endpoint_type,started_at,ended_at,elapsed_seconds,outcome,status_code,error_type,retry_count,query_summary
1,pilot_day,region=west_coast;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:26,2026-03-29T08:04:27,0.814,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=29.0,29.0,29.0,29.0,29.0,29.0,29.0,31.5,31.5,31.5,31.5,31.5; longitude=-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,..."
2,pilot_day,region=west_coast;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:28,2026-03-29T08:04:28,0.768,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=31.5,31.5,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.5,36.5,36.5; longitude=-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,..."
3,pilot_day,region=west_coast;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:29,2026-03-29T08:04:30,0.805,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=36.5,36.5,36.5,36.5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,41.5; longitude=-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,..."
4,pilot_day,region=west_coast;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:30,2026-03-29T08:04:31,0.781,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=41.5,41.5,41.5,41.5,41.5,41.5,44.0,44.0,44.0,44.0,44.0,44.0; longitude=-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,..."
5,pilot_day,region=west_coast;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:31,2026-03-29T08:04:32,0.806,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=44.0,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.0,49.0,49.0,49.0; longitude=-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,..."
6,pilot_day,region=west_coast;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:32,2026-03-29T08:04:33,0.771,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=49.0,49.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0; longitude=-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0"
7,pilot_day,region=southwest;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:37,2026-03-29T08:04:38,0.778,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=28.5,28.5,28.5,28.5,28.5,28.5,28.5,31.25,31.25,31.25,31.25,31.25; longitude=-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,..."
8,pilot_day,region=southwest;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:38,2026-03-29T08:04:39,0.774,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=31.25,31.25,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.75,36.75,36.75; longitude=-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,..."
9,pilot_day,region=southwest;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:40,2026-03-29T08:04:40,0.805,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=36.75,36.75,36.75,36.75,39.5,39.5,39.5,39.5,39.5,39.5,39.5,42.25; longitude=-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,..."
10,pilot_day,region=southwest;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:41,2026-03-29T08:04:41,0.778,success,200.0,,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=42.25,42.25,42.25,42.25,42.25,42.25,44.0,44.0,44.0,44.0,44.0,44.0; longitude=-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,..."
11,pilot_day,region=southwest;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:42,2026-03-29T08:04:42,0.635,success,200.0,,0,start_date=2026-03-29; end_date=2026-03-29; latitude=44.0; longitude=-104.5
12,pilot_day,region=rockies;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:04:44,2026-03-29T08:05:29,45.158,retrying,,timeout,0,"start_date=2026-03-29; end_date=2026-03-29; latitude=35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.5,37.5,37.5,37.5; longitude=-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,..."
13,pilot_day,region=rockies;date=2026-03-29,comfortwx_pilot_day_openmeteo_20260329,openmeteo_forecast,forecast,2026-03-29T08:05:31,2026-03-29T08:05:32,0.788,success,200.0,,1,"start_date=2026-03-29; end_date=2026-03-29; latitude=35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.5,37.5,37.5,37.5; longitude=-115.5,-113.0,-110.5,-108.0,-105.5,-103.0,-100.5,-100.0,-115.5,-113.0,-110.5,..."
