request_id,workflow,label,run_slug,endpoint_name,endpoint_type,started_at,ended_at,elapsed_seconds,outcome,status_code,error_type,retry_count,query_summary
1,pilot_day,region=west_coast;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:10:37,2026-03-29T08:10:38,0.805,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=29.0,29.0,29.0,29.0,29.0,29.0,29.0,31.5,31.5,31.5,31.5,31.5; longitude=-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,..."
2,pilot_day,region=west_coast;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:10:38,2026-03-29T08:10:39,0.776,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=31.5,31.5,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.5,36.5,36.5; longitude=-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,..."
3,pilot_day,region=west_coast;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:10:39,2026-03-29T08:10:40,0.801,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=36.5,36.5,36.5,36.5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,41.5; longitude=-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,..."
4,pilot_day,region=west_coast;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:10:41,2026-03-29T08:10:41,0.8,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=41.5,41.5,41.5,41.5,41.5,41.5,44.0,44.0,44.0,44.0,44.0,44.0; longitude=-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,..."
5,pilot_day,region=west_coast;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:10:42,2026-03-29T08:10:43,0.788,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=44.0,46.5,46.5,46.5,46.5,46.5,46.5,46.5,49.0,49.0,49.0,49.0; longitude=-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,..."
6,pilot_day,region=west_coast;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:10:43,2026-03-29T08:10:44,0.822,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=49.0,49.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0; longitude=-117.0,-114.5,-114.0,-127.0,-124.5,-122.0,-119.5,-117.0,-114.5,-114.0"
7,pilot_day,region=southwest;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:10:45,2026-03-29T08:11:31,45.197,retrying,,timeout,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=28.5,28.5,28.5,28.5,28.5,28.5,28.5,31.25,31.25,31.25,31.25,31.25; longitude=-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,..."
8,pilot_day,region=southwest;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:11:33,2026-03-29T08:11:33,0.795,success,200.0,,1,"start_date=2026-03-30; end_date=2026-03-30; latitude=28.5,28.5,28.5,28.5,28.5,28.5,28.5,31.25,31.25,31.25,31.25,31.25; longitude=-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,..."
9,pilot_day,region=southwest;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:11:34,2026-03-29T08:11:35,0.802,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=31.25,31.25,34.0,34.0,34.0,34.0,34.0,34.0,34.0,36.75,36.75,36.75; longitude=-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,..."
10,pilot_day,region=southwest;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:11:35,2026-03-29T08:11:36,0.802,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=36.75,36.75,36.75,36.75,39.5,39.5,39.5,39.5,39.5,39.5,39.5,42.25; longitude=-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,..."
11,pilot_day,region=southwest;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:11:36,2026-03-29T08:11:37,0.915,success,200.0,,0,"start_date=2026-03-30; end_date=2026-03-30; latitude=42.25,42.25,42.25,42.25,42.25,42.25,44.0,44.0,44.0,44.0,44.0,44.0; longitude=-117.5,-114.5,-111.5,-108.5,-105.5,-104.5,-120.5,-117.5,-114.5,-111.5,-108.5,..."
12,pilot_day,region=southwest;date=2026-03-30,comfortwx_pilot_day_openmeteo_20260330,openmeteo_forecast,forecast,2026-03-29T08:11:37,2026-03-29T08:11:38,0.636,success,200.0,,0,start_date=2026-03-30; end_date=2026-03-30; latitude=44.0; longitude=-104.5
